English,Xhosa,Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
1,1,record_id,labelling_hh_on_google_maps,,text,Record ID,,,,,,,,,,,,,
1,1,ra_name_label,labelling_hh_on_google_maps,"<div class=""rich-text-field-label""><p style=""text-align: center;"">STAFF DETAILS</p></div>",text,Research Assistant's Name:,,,,,,,,y,,,,, @READONLY @USERNAME
1,1,labelling_date,labelling_hh_on_google_maps,,text,Date:,,,date_dmy,,,,,y,,,,, @READONLY @TODAY
1,1,labelling_time,labelling_hh_on_google_maps,,text,Time:,,,time,,,,,y,,,,, @NOW @READONLY
1,1,ra_instruct,labelling_hh_on_google_maps,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instructions to the RA: </span></p> <p><span style=""color: #236fa1; font-weight: normal;"">1. Please open your Community Map (with Square) on your tablet</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">2. Use the Community Map and Google Maps to</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">        - Identify the Letter of the Square</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">        - Determine which household to visit next</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">3. Make sure the household is within the Square</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">4. Locate the household</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">5. Use REDCap to guide you</span></p> <p> </p> <p><span style=""color: #236fa1;"">YOU MUST CLICK ON CONTINUE BELOW</span></p></div>","1, Continue",,,,,,,y,LH,,,,
,,house_number,labelling_hh_on_google_maps,"<div class=""rich-text-field-label""><p style=""text-align: center;"">LABELLING OF HOUSE ON GOOGLE MAPS</p></div>",descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Household number: <span style=""color: #e03e2d;"">[record-name]</span></span></p></div>",,This is NOT the number house number as it appears on the gate/door/house. This refers to the unique chronological number you allocate to the house during your 1st attempt.,,,,,,,,,,, @READONLY
1,1,attempt,labelling_hh_on_google_maps,,radio,Household attempt number?,"1, 1st attempt|2, 2nd attempt|3, 3rd attempt",,,,,,[ra_instruct] = '1',y,,,,,
1,1,ra_instruct_1stattempt,labelling_hh_on_google_maps,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instruction to RA: </span><br /><br /><span style=""text-decoration: underline;""><span style=""color: #236fa1; text-decoration: underline;"">Record/label the household number <span style=""color: #e03e2d; text-decoration: underline;"">[record-name]</span> on Google Maps App before continuing</span></span></p></div>","1, I confirm that I recorded the house number on the Google Maps App",,,,,,[ra_instruct] = '1' and [attempt] = '1',y,LH,,,,
1,1,ra_instruct_2nd_3rdattempt,labelling_hh_on_google_maps,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instruction to RA: </span></p> <p><span style=""color: #236fa1;"">This household number has already been labelled on Google Maps. DO NOT Record/Label household number [record-name] again!</span></p> <p><span style=""text-decoration: underline;""><span style=""color: #236fa1; text-decoration: underline;"">Please open Google Maps and check if <span style=""color: #e03e2d; text-decoration: underline;"">household #[record-name]</span> at has been labelled accurately </span></span></p></div>","1, I confirm that the household number on Google Maps is accurate",,,,,,[ra_instruct] = '1' and ([attempt] = '2' or [attempt] = '3'),y,LH,,,,
,,ins_13,labelling_hh_on_google_maps,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Note to RA:</span><br /><br /><span style=""color: #236fa1;"">Please check whether all fields on this form are completed properly.</span><br /><span style=""color: #236fa1;"">Once done, select unverified then save and move to the next form. </span></p></div>",,,,,,,,,,,,,
1,1,labelling_hh_on_google_maps_complete,labelling_hh_on_google_maps,,,,,,,,,,,,,,,,
1,1,research_assistant_s_name,screening_and_consenting,"<center> STAFF DETAILS

",text,"<div class=""rich-text-field-label""><p>Research Assistant's Name</p></div>",,,,,,,,y,,,,, @READONLY @USERNAME
1,1,screening_date,screening_and_consenting,,text,Screening Date,,,date_dmy,,,,,y,,,,, @READONLY @TODAY
1,1,time_started,screening_and_consenting,,text,Time Started,,,time,,,,,y,,,,, @NOW @READONLY
1,1,area,screening_and_consenting,"<center> STUDY SITE

",dropdown,Data collection site:,"1, Duncan Village | 2, Scenery Park | 3, Nompumelelo | 4, Ducats | 5, Mdantsane | 6, Ndevana | 7, Ginsberg | 8, Buffalo Flats",,,,,,,y,,,,,
