"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,index_screening_and_consent,,text,"Screening ID",,,,,,,,,,,,,
sc_aim,index_screening_and_consent,"<center> Staff Details 

",text,Aim,,,,,,,,,,,,," @HIDDEN @CALCTEXT(""Aim 1"")"
sc_staff,index_screening_and_consent,,text,"
RA Name ",,,,,,,,y,,,,," @READONLY @USERNAME"
tbip_sc_date,index_screening_and_consent,,text,"
Screening Date ",,,date_dmy,,,,,,,,,," @READONLY @TODAY @HIDEBUTTON"
tbip_sc_start_time,index_screening_and_consent,,text,"Start Time ",,,time,,,,,,,,,," @READONLY @NOW @HIDEBUTTON"
tbip_sc_intro_script,index_screening_and_consent,,descriptive,,,,,,,,,,,,,,
tbip_sc_q4,index_screening_and_consent,,radio,"<div class=""rich-text-field-label""><h5>You are about to administer the screening for this participant.<br /><br /><br /><span style=""color: #ba372a;"">Please get the medical record of the participant from the TB focal nurse.</span></h5> <h5><br />Please select ""Proceed"" below to initiate the screening process</h5></div>","1, Proceed",,,,,,,y,LV,,,,
tbip_sc_q5,index_screening_and_consent,"<center> Screening  for Eligibility


Note to FW: Please ask the following questions to the participant to assess whether they are eligible to partake in the study. 
",dropdown,"Name of the facility","1, Empilweni Gompo CHC|2, Pefferville Clinic|3, Duncan Village CHC|4, Gompo C Jabavu Clinic|5, Chris Hani Clinic|6, Luyolo NU 9 Clinic|7, Alphendale Clinic|8, John Dube Clinic|9, Fezeka NU 3 Clinic|10, Gompo A Ndende Clinic|11, Ndevana Clinic|12, Philani NU 1 Clinic|13, Aspiranza Clinic|14, Ginsberg Clinic|15, Zwelitsha Zone 5 Clinic|16, Masakhane Clinic (Zwelitsha)|17, Gompo B Jwayi Clinic|18, NU 12 Clinic",,,,,,"[tbip_sc_q4] ='1'",y,,,,,
tbip_sc_q8,index_screening_and_consent,,yesno,"Are you Pulmonary TB Positive?

Note to RA: If the patient is unsure, please confirm with the nurse.",,,,,,,[tbip_sc_q5]<>'',y,LV,,,,
tbip_sc_ini_date,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><p>Date of treatment initiation</p> <p><span style=""color: #ba372a;"">Check the medical record to confirm initiation date.</span></p></div>",,,date_dmy,[tbip_s_q_diag_date],today,,"[tbip_sc_q8] ='1'",y,LV,,,,
tbip_sc_ini_days_calc,index_screening_and_consent,,calc,"Days on treatment","rounddown(datediff([tbip_sc_ini_date], [tbip_sc_date], 'd', 'dmy', true),0)",,,,,,"[tbip_sc_q8] ='1'",y,,,,,
tbip_sc_notify,index_screening_and_consent,,radio,"<div class=""rich-text-field-label""><p>You initiated treatment on <span style=""color: #ba372a;"">[tbip_sc_ini_date]</span><br /><br />Were you notified about your diagnosis on this date? or before <span style=""color: #ba372a;"">[tbip_sc_ini_date]</span></p></div>","1, Same day | 2, Different day",,,,,,[tbip_sc_ini_date]<>'',y,LV,,,,
tbip_sc_notify_date_yn,index_screening_and_consent,,yesno,"Do you remember the date you were notified?",,,,,,,[tbip_sc_notify]='2',y,LV,,,,
tbip_sc_notify_date,index_screening_and_consent,,text,"Notification date",,,date_dmy,,,,[tbip_sc_notify_date_yn]='1',y,LV,,,,
tbip_sc_new_dignose_note,index_screening_and_consent,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: center;""><span style=""color: #169179;"">Based on the date of initiation this is newly dignosed patient.</span></h5> <h5 style=""text-align: center;""><span style=""color: #169179;"">Initiated today or within the last 14 days </span></h5></div>",,,,,,,[tbip_sc_ini_days_calc]<14,,,,,,
tbip_sc_warning,index_screening_and_consent,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: center;""><span style=""color: #169179;"">The  patient is already on treatment </span></h5> <h5 style=""text-align: center;""><span style=""color: #169179;"">Initiated more than 2 weeks ago</span></h5></div>",,,,,,,[tbip_sc_ini_days_calc]>=14,,,,,,
tbip_sc_language,index_screening_and_consent,,yesno,"Are you fluent in either English or isiXhosa?  ",,,,,,,[tbip_sc_ini_date]<>'',y,LV,,,,
