"Observed","Total","Completeness","Mean","Median","Min","Max","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"Observed","Total","Completeness","Mean","Median","Min","Max","Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"15574","15574","100",NA,NA,NA,NA,"record_id","labelling_hh_on_google_maps",NA,"text","Record ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4433","15574","28.5",NA,NA,NA,NA,"ra_name_label","labelling_hh_on_google_maps","<div class=""rich-text-field-label""><p style=""text-align: center;"">STAFF DETAILS</p></div>","text","Research Assistant's Name:",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,"@READONLY @USERNAME"
"4433","15574","28.5",NA,NA,NA,NA,"labelling_date","labelling_hh_on_google_maps",NA,"text","Date:",NA,NA,"date_dmy",NA,NA,NA,NA,"y",NA,NA,NA,NA,"@READONLY @TODAY"
"4433","15574","28.5",NA,NA,NA,NA,"labelling_time","labelling_hh_on_google_maps",NA,"text","Time:",NA,NA,"time",NA,NA,NA,NA,"y",NA,NA,NA,NA,"@NOW @READONLY"
"4432","15574","28.5",NA,NA,NA,NA,"ra_instruct","labelling_hh_on_google_maps",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instructions to the RA: </span></p> <p><span style=""color: #236fa1; font-weight: normal;"">1. Please open your Community Map (with Square) on your tablet</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">2. Use the Community Map and Google Maps to</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">        - Identify the Letter of the Square</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">        - Determine which household to visit next</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">3. Make sure the household is within the Square</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">4. Locate the household</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">5. Use REDCap to guide you</span></p> <p> </p> <p><span style=""color: #236fa1;"">YOU MUST CLICK ON CONTINUE BELOW</span></p></div>","1, Continue",NA,NA,NA,NA,NA,NA,"y","LH",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"house_number","labelling_hh_on_google_maps","<div class=""rich-text-field-label""><p style=""text-align: center;"">LABELLING OF HOUSE ON GOOGLE MAPS</p></div>","descriptive","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Household number: <span style=""color: #e03e2d;"">[record-name]</span></span></p></div>",NA,"This is NOT the number house number as it appears on the gate/door/house. This refers to the unique chronological number you allocate to the house during your 1st attempt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@READONLY"
"4432","4432","100",NA,NA,NA,NA,"attempt","labelling_hh_on_google_maps",NA,"radio","Household attempt number?","1, 1st attempt|2, 2nd attempt|3, 3rd attempt",NA,NA,NA,NA,NA,"[ra_instruct] = '1'","y",NA,NA,NA,NA,NA
"4156","4162","99.9",NA,NA,NA,NA,"ra_instruct_1stattempt","labelling_hh_on_google_maps",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instruction to RA: </span><br /><br /><span style=""text-decoration: underline;""><span style=""color: #236fa1; text-decoration: underline;"">Record/label the household number <span style=""color: #e03e2d; text-decoration: underline;"">[record-name]</span> on Google Maps App before continuing</span></span></p></div>","1, I confirm that I recorded the house number on the Google Maps App",NA,NA,NA,NA,NA,"[ra_instruct] = '1' and [attempt] = '1'","y","LH",NA,NA,NA,NA
"269","270","99.6",NA,NA,NA,NA,"ra_instruct_2nd_3rdattempt","labelling_hh_on_google_maps",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instruction to RA: </span></p> <p><span style=""color: #236fa1;"">This household number has already been labelled on Google Maps. DO NOT Record/Label household number [record-name] again!</span></p> <p><span style=""text-decoration: underline;""><span style=""color: #236fa1; text-decoration: underline;"">Please open Google Maps and check if <span style=""color: #e03e2d; text-decoration: underline;"">household #[record-name]</span> at has been labelled accurately </span></span></p></div>","1, I confirm that the household number on Google Maps is accurate",NA,NA,NA,NA,NA,"[ra_instruct] = '1' and ([attempt] = '2' or [attempt] = '3')","y","LH",NA,NA,NA,NA
